id,time,side,grade,confidence,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780880663,2026-06-08 03:04,LONG,A+,,prev VAL rejection (VA/VWAP),4338.9,,,172,32,EMA50,auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); counter-DOWN no-room
1780880878,2026-06-08 03:07,LONG,A+,,prev VAL rejection (VA/VWAP),4334.68,,,226,45,VWAP,auto-skip,0.58,neg R:R 0.58 (TP1 < 0.8×SL)
1780880901,2026-06-08 03:08,LONG,A+,,prev VAL rejection (VA/VWAP),4336.34,,,226,28,VWAP,auto-skip,0.43,neg R:R 0.43 (TP1 < 0.8×SL)
1780880956,2026-06-08 03:09,LONG,A+,,CRT sweep+reclaim,4340.73,,,226,16,round 4340.0,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780881100,2026-06-08 03:11,LONG,A+,,prev VAL rejection (VA/VWAP),4336.05,,,226,12,VWAP,auto-skip,0.47,neg R:R 0.47 (TP1 < 0.8×SL)
1780881177,2026-06-08 03:12,SHORT,observe,,momentum impulse,4332.27,,,226,50,VWAP,auto-skip,,observation-only
1780881247,2026-06-08 03:14,SHORT,A+,4,VWAP rejection,4332.27,4338.95,4321.21,226,50,VWAP,rejected,,chop 15m-ER 0.22 + off-session thin tape; R:R to TP1 only 1.66 (<2); SMC discount-misaligned (favors longs); conf 4/10; VWAP-fade is cost-negative family. Fails NOT-chop discipline.
1780881275,2026-06-08 03:14,SHORT,C-into-zone,,VWAP rejection,4330.3,,,236,70,open,auto-skip,1.35,dead chop ER0.19 (<0.2)
1780881317,2026-06-08 03:15,SHORT,observe,,momentum impulse,4321.44,,,310,58,VWAP lower band,auto-skip,,observation-only
1780881377,2026-06-08 03:16,SHORT,observe,,momentum impulse,4323.21,,,324,40,VWAP lower band,auto-skip,,observation-only
1780881438,2026-06-08 03:17,SHORT,observe,,momentum impulse,4321.5,,,324,57,VWAP lower band,auto-skip,,observation-only
1780881495,2026-06-08 03:18,SHORT,observe,,momentum impulse,4321.39,,,330,58,VWAP lower band,auto-skip,,observation-only
1780881555,2026-06-08 03:19,SHORT,C-into-zone,,support-trendline break,4315.02,,,380,122,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL); dead chop ER0.13 (<0.2)
1780881798,2026-06-08 03:23,LONG,A+,,PDL liq sweep,4323.24,,,407,53,VWAP lower band,auto-skip,1.36,dead chop ER0.05 (<0.2)
1780882096,2026-06-08 03:28,SHORT,C-into-zone,,support-trendline break,4315.38,,,373,62,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL); dead chop ER0.14 (<0.2)
1780882275,2026-06-08 03:31,SHORT,observe,,momentum impulse,4304.83,,,457,98,open,auto-skip,,observation-only
1780882313,2026-06-08 03:31,LONG,A+,,zone-bounce rejection,4315.02,,,457,4,"4311.65 (15m+PDL, x2)",auto-skip,1.0,dead chop ER0.12 (<0.2)
1780882331,2026-06-08 03:32,SHORT,A+,4,prior-day-low breakdown,4304.83,4312.79,4293.46,457,98,open,rejected,,PDL-breakdown short into RSI 29 = oversold-chasing (selling the low); dead chop ER 0.12; off-session; SMC discount-misaligned; conf 4/10; and the break already failed — price reversed to 4315 back above PDL (false break). Fails NOT-chop + NOT-oversold-chasing discipline.
1780882845,2026-06-08 03:40,LONG,A+,,CRT sweep+reclaim,4321.89,,,454,48,round 4320.0,auto-skip,1.33,dead chop ER0.06 (<0.2)
1780882876,2026-06-08 03:41,LONG,A+,,CRT sweep+reclaim,4320.48,,,454,34,round 4320.0,auto-skip,1.43,dead chop ER0.04 (<0.2)
1780882947,2026-06-08 03:42,LONG,A+,,CRT sweep+reclaim,4321.78,,,454,47,round 4320.0,auto-skip,1.34,dead chop ER0.06 (<0.2)
1780882998,2026-06-08 03:43,LONG,A,,CRT sweep+reclaim,4323.82,,,454,67,open,auto-skip,1.18,dead chop ER0.08 (<0.2)
1780883062,2026-06-08 03:44,LONG,A,,CRT sweep+reclaim,4325.68,,,454,86,open,auto-skip,1.04,dead chop ER0.1 (<0.2)
1780883186,2026-06-08 03:46,LONG,A,,CRT sweep+reclaim,4326.75,,,454,7,open,auto-skip,0.73,neg R:R 0.73 (TP1 < 0.8×SL); dead chop ER0.01 (<0.2)
1780883356,2026-06-08 03:49,LONG,A,,CRT sweep+reclaim,4326.29,,,454,2,open,auto-skip,0.76,neg R:R 0.76 (TP1 < 0.8×SL); dead chop ER0.01 (<0.2)
1780886390,2026-06-08 04:39,LONG,A+,7,zone-bounce rejection,4311.98,4305.35,4323.03,236,25,"4311.65 (15m+PDL, x2)",rejected,,"conf 7/10 but still counter-trend LONG vs DOWN regime + off-session thin tape (OPERATIONS: never counter-trend off-session even A+); R:R to TP1 1.67 (<2); 4311 PDL over-tested ~90min (not fresh, checklist #7); zone-bounce is cost-negative family. High confluence noted but discipline fails."
1780886660,2026-06-08 04:44,LONG,strict-reversal,,zone-bounce rejection,4315.9,,,236,41,"4311.65 (15m+PDL, x2)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780887577,2026-06-08 04:59,SHORT,A+,,zone-bounce rejection,4310.74,,,136,12,"4311.65 (15m+PDL, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL)
1780888099,2026-06-08 05:08,SHORT,strict-reversal,,zone-bounce rejection,4307.65,,,146,33,"4311.65 (15m+PDL, x2)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780888881,2026-06-08 05:21,LONG,A+,,CRT sweep+reclaim,4309.61,,,172,20,"4310.03 (15m+round, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); counter-DOWN no-room
1780888936,2026-06-08 05:22,LONG,A+,,zone-bounce rejection,4310.87,,,172,33,"4310.03 (15m+round, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); counter-DOWN no-room
1780889056,2026-06-08 05:24,LONG,A+,,CRT sweep+reclaim,4309.04,,,172,14,"4310.03 (15m+round, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); counter-DOWN no-room
1780889488,2026-06-08 05:31,LONG,A+,,CRT sweep+reclaim,4307.53,,,172,5,"4310.03 (15m+round, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL)
1780890576,2026-06-08 05:49,LONG,A+,8,zone-bounce rejection,4313.55,4307.11,4322.15,106,39,"4311.65 (15m+PDL, x2)",rejected,,"conf 8/10 but same counter-trend LONG vs DOWN + off-session thin tape (never counter-trend off-session even A+); R:R to TP1 1.34 (<2); 4310/11 level chopped on 3+ hrs (over-tested, not fresh, checklist #7). High confluence noted; discipline fails."
1780892446,2026-06-08 06:20,SHORT,A+,,CRT sweep+reclaim,4318.59,,,159,1,round 4320.0,auto-skip,0.46,neg R:R 0.46 (TP1 < 0.8×SL); dead chop ER0.04 (<0.2)
1780892537,2026-06-08 06:22,SHORT,A+,,CRT sweep+reclaim,4317.13,,,159,16,EMA50,auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); dead chop ER0.0 (<0.2)
1780893016,2026-06-08 06:30,SHORT,A+,,CRT sweep+reclaim,4318.93,,,126,9,round 4320.0,auto-skip,0.5,neg R:R 0.50 (TP1 < 0.8×SL); dead chop ER0.11 (<0.2)
1780893139,2026-06-08 06:32,SHORT,A+,,CRT sweep+reclaim,4317.87,,,126,20,EMA50,auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); dead chop ER0.13 (<0.2)
1780893197,2026-06-08 06:33,SHORT,A+,,CRT sweep+reclaim,4316.06,,,126,38,EMA50,auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); dead chop ER0.17 (<0.2)
1780893437,2026-06-08 06:37,SHORT,C-into-zone,,CRT sweep+reclaim,4312.63,,,108,6,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780895237,2026-06-08 07:07,SHORT,A+,,prior-day-low breakdown,4311.48,,,133,40,"4311.65 (15m+PDL, x2)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL); dead chop ER0.16 (<0.2)
1780895597,2026-06-08 07:13,SHORT,A+,,zone-bounce rejection,4308.04,,,133,26,"4311.65 (15m+PDL, x2)",auto-skip,0.54,neg R:R 0.54 (TP1 < 0.8×SL); dead chop ER0.14 (<0.2)
1780895845,2026-06-08 07:17,LONG,A+,,CRT sweep+reclaim,4307.37,,,159,27,"4310.03 (15m+round, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); dead chop ER0.05 (<0.2)
1780895957,2026-06-08 07:19,LONG,A+,,CRT sweep+reclaim,4309.79,,,159,51,"4310.03 (15m+round, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); dead chop ER0.0 (<0.2); counter-DOWN no-room
1780896200,2026-06-08 07:23,LONG,A+,,zone-bounce rejection,4312.37,,,119,29,"4310.03 (15m+round, x2)",auto-skip,1.5,dead chop ER0.02 (<0.2)
1780896438,2026-06-08 07:27,LONG,A+,,CRT sweep+reclaim,4311.36,,,119,2,"4310.03 (15m+round, x2)",auto-skip,0.33,neg R:R 0.33 (TP1 < 0.8×SL); dead chop ER0.08 (<0.2); counter-DOWN no-room
1780896559,2026-06-08 07:29,LONG,A+,,zone-bounce rejection,4312.46,,,119,13,"4310.03 (15m+round, x2)",auto-skip,1.49,dead chop ER0.06 (<0.2)
1780896678,2026-06-08 07:31,SHORT,A+,,support-trendline break,4306.22,,,143,50,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780896799,2026-06-08 07:33,SHORT,C-into-zone,,support-trendline break,4303.08,,,147,82,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780897037,2026-06-08 07:37,SHORT,observe,,momentum impulse,4278.55,,,376,90,round 4280.0,auto-skip,,observation-only
1780898899,2026-06-08 08:08,SHORT,strict-reversal,,zone-bounce rejection,4300.43,,,455,31,"4300.22 (15m+1H+round, x3)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780899260,2026-06-08 08:14,LONG,strict-reversal,,zone-bounce rejection,4302.78,,,446,6,"4300.22 (15m+1H+round, x3)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780899820,2026-06-08 08:23,LONG,A+,,resistance-trendline break,4310.22,,,428,70,round 4310.0,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL); dead chop ER0.04 (<0.2); counter-DOWN no-room
1780901058,2026-06-08 08:44,LONG,strict-reversal,,zone-bounce rejection,4299.71,,,255,35,"4300.22 (15m+1H+round, x3)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780902257,2026-06-08 09:04,LONG,strict-reversal,,zone-bounce rejection,4302.11,,,183,22,"4300.22 (15m+1H+round, x3)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780903731,2026-06-08 09:28,SHORT,A+,,zone-bounce rejection,4310.25,,,239,39,"4310.03 (15m+round, x2)",auto-skip,1.38,dead chop ER0.03 (<0.2)
1780904056,2026-06-08 09:34,SHORT,A+,,CRT sweep+reclaim,4306.18,,,239,1,"4310.03 (15m+round, x2)",auto-skip,0.66,neg R:R 0.66 (TP1 < 1.2×SL); dead chop ER0.06 (<0.2)
1780904178,2026-06-08 09:36,SHORT,A+,,CRT sweep+reclaim,4307.72,,,239,5,"4310.03 (15m+round, x2)",auto-skip,0.86,neg R:R 0.86 (TP1 < 1.2×SL); dead chop ER0.05 (<0.2)
1780905982,2026-06-08 10:06,SHORT,A+,,CRT sweep+reclaim,4303.46,,,239,43,"4300.22 (15m+1H+round, x3)",auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL); dead chop ER0.12 (<0.2)
1780906400,2026-06-08 10:13,LONG,A+,,CRT sweep+reclaim,4294.63,,,273,2,"4293.09 (1H+4H+D, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL)
1780907501,2026-06-08 10:31,LONG,A+,,CRT sweep+reclaim,4289.84,,,173,12,"4293.09 (1H+4H+D, x3)",auto-skip,1.04,neg R:R 1.04 (TP1 < 1.2×SL); dead chop ER0.06 (<0.2)
1780908317,2026-06-08 10:45,LONG,A+,,CRT sweep+reclaim,4291.5,,,118,9,"4293.09 (1H+4H+D, x3)",auto-skip,0.89,neg R:R 0.89 (TP1 < 1.2×SL)
1780908570,2026-06-08 10:49,LONG,A+,,CRT sweep+reclaim,4292.84,,,118,22,"4293.09 (1H+4H+D, x3)",auto-skip,0.65,neg R:R 0.65 (TP1 < 1.2×SL)
1780909826,2026-06-08 11:10,LONG,A+,,CRT sweep+reclaim,4285.86,,,96,5,1H buy zone,auto-skip,0.66,neg R:R 0.66 (TP1 < 1.2×SL)
1780909936,2026-06-08 11:12,LONG,A+,,CRT sweep+reclaim,4287.2,,,96,19,1H buy zone,auto-skip,0.58,neg R:R 0.58 (TP1 < 1.2×SL)
1780910059,2026-06-08 11:14,LONG,A+,,CRT sweep+reclaim,4287.78,,,96,25,1H buy zone,auto-skip,0.55,neg R:R 0.55 (TP1 < 1.2×SL)
1780910239,2026-06-08 11:17,LONG,A+,,CRT sweep+reclaim,4288.6,,,96,2,1H buy zone,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL); counter-DOWN no-room
1780911267,2026-06-08 11:34,SHORT,observe,,momentum impulse,4274.37,,,195,55,open,auto-skip,,observation-only
1780911376,2026-06-08 11:36,LONG,strict-reversal,,zone-bounce rejection,4278.4,,,204,43,1H buy zone,auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780911516,2026-06-08 11:38,LONG,A+,,resistance-trendline break,4291.53,,,229,175,1H buy zone,auto-skip,0.33,neg R:R 0.33 (TP1 < 1.2×SL); dead chop ER0.12 (<0.2)
1780911794,2026-06-08 11:43,LONG,strict-reversal,,zone-bounce rejection,4295.43,,,232,17,1H buy zone,auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780912573,2026-06-08 11:56,SHORT,A+,,CRT sweep+reclaim,4293.18,,,291,3,VWAP lower band,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780912966,2026-06-08 12:02,SHORT,C-into-zone,1,CRT sweep+reclaim,4290.11,4298.18,4278.58,291,48,1H buy zone,rejected,,C-into-zone SHORT into a 1H buy-zone support (shorting INTO support = suppressed low-quality setup); conf 1/10; SMC discount-misaligned; no clean room (at support). Reject.
1780913055,2026-06-08 12:04,SHORT,C-into-zone,,CRT sweep+reclaim,4290.7,,,291,42,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780914977,2026-06-08 12:36,SHORT,A+,,CRT sweep+reclaim,4301.47,,,194,23,"4300.22 (15m+1H+round, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL); dead chop ER0.14 (<0.2)
1780915102,2026-06-08 12:38,SHORT,A+,,zone-bounce rejection,4300.57,,,194,32,"4300.22 (15m+1H+round, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL); dead chop ER0.12 (<0.2)
1780915215,2026-06-08 12:40,SHORT,A+,,CRT sweep+reclaim,4299.77,,,194,1,"4300.22 (15m+1H+round, x3)",auto-skip,0.52,neg R:R 0.52 (TP1 < 1.2×SL); dead chop ER0.13 (<0.2)
1780915633,2026-06-08 12:47,SHORT,A+,,zone-bounce rejection,4300.17,,,194,45,"4300.22 (15m+1H+round, x3)",auto-skip,0.55,neg R:R 0.55 (TP1 < 1.2×SL); dead chop ER0.09 (<0.2)
1780915755,2026-06-08 12:49,SHORT,A+,,CRT sweep+reclaim,4301.52,,,194,32,"4300.22 (15m+1H+round, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL); dead chop ER0.11 (<0.2)
1780915873,2026-06-08 12:51,SHORT,A+,,CRT sweep+reclaim,4299.07,,,161,16,"4300.22 (15m+1H+round, x3)",auto-skip,0.46,neg R:R 0.46 (TP1 < 1.2×SL); dead chop ER0.14 (<0.2)
1780916686,2026-06-08 13:04,SHORT,A+,,fib pullback rejection 0.52-0.645,4299.7,,,157,25,"4300.22 (15m+1H+round, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL); dead chop ER0.09 (<0.2)
1780916894,2026-06-08 13:08,LONG,A+,,zone-bounce rejection,4303.8,,,157,39,"4300.22 (15m+1H+round, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL)
1780916954,2026-06-08 13:09,LONG,A+,,zone-bounce rejection,4303.35,,,157,35,"4300.22 (15m+1H+round, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL)
1780917015,2026-06-08 13:10,SHORT,C-into-zone,,CRT sweep+reclaim,4305.01,,,159,11,open,auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL)
1780917313,2026-06-08 13:15,LONG,C-into-zone,,prev VAL rejection (VA/VWAP),4317.3,,,307,13,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780917376,2026-06-08 13:16,LONG,A+,,prev VAL rejection (VA/VWAP),4312.84,,,307,58,4H SMC EQL liquidity,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780917432,2026-06-08 13:17,LONG,A+,,prev VAL rejection (VA/VWAP),4314.81,,,307,38,prior-day low,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL); counter-DOWN no-room
1780917495,2026-06-08 13:18,SHORT,A+,,fib pullback rejection 0.52-0.645,4313.61,,,307,50,"4310.03 (15m+round, x2)",auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780917555,2026-06-08 13:19,LONG,C-into-zone,,fib pullback rejection 0.52-0.645,4319.99,,,307,14,open,auto-skip,0.36,neg R:R 0.36 (TP1 < 1.2×SL); counter-DOWN no-room
1780917612,2026-06-08 13:20,LONG,C-into-zone,,fib pullback rejection 0.52-0.645,4327.76,,,325,6,open,auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL)
1780917673,2026-06-08 13:21,SHORT,A+,,zone-bounce rejection,4326.97,,,341,2,1H SMC supply OB,auto-skip,0.9,neg R:R 0.90 (TP1 < 1.2×SL)
1780917737,2026-06-08 13:22,LONG,C-into-zone,,prev VAL rejection (VA/VWAP),4327.1,,,341,3,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780917795,2026-06-08 13:23,LONG,A+,,prev VAL rejection (VA/VWAP),4324.81,,,341,23,EMA200,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780917852,2026-06-08 13:24,LONG,A,,prev VAL rejection (VA/VWAP),4325.78,,,341,14,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
